broken,no,word,ipa,th,ipa2,th2,translates/0/type,translates/0/th,translates/1/type,translates/1/th,translates/2/type,translates/2/th,translates/3/type,translates/3/th,translates/4/type,translates/4/th,translates/5/type,translates/5/th,translates/6/type,translates/6/th,translates/7/type,translates/7/th,examples/0/word,examples/0/type,examples/0/th
,317,အင်ဒဲ,ʔaˀŋ-tòa ,อัง-ตั่ว ,,,n,คนโฑ,n,เหยือกน้ำ,,,,,,,,,,,,,,,
,318,အင်ရေင်,ʔaˀŋ-rɒˀŋ ,อัง-ร่อง ,,,n,กล้วยไม้พันธุ์หนึ่ง,,,,,,,,,,,,,,,,,
,319,အင်လှာ,ʔaˀŋ-hla ,อัง-ฮลา ,,,n,หนอง,n,บึง,n,ห้วย,,,,,,,,,,,,,
,320,အဇ္ၛတ်,ʔɒc-cʰòt ,ออจ-ช่ด ,,,adv,ถึงที่สุด,adv,ในที่สุด,adv,ที่สุด,,,,,,,,,,,,,
,321,အဇ္ၛာသယ,ʔɒc-cʰɛ̀a-saˀ-jɛ̀ˀ ,ออจ-เชีย-ซะ-เยี่ยะ ,,,n,อัธยาศัย,,,,,,,,,,,,,,,,,
,322,အဇ္ဇေ,ʔɒc-cè ,ออจ-เจ่ ,,,n,ความเที่ยงธรรม,n,ความซื่อตรง,,,,,,,,,,,,,,,
,323,အဇ္ၛတ္တိကာ,ʔɒc-cʰòt-tɔɪ-ka ,ออจ-ช่ด-ตอฺย-กา ,,,adv,ถึงที่สุด,adv,ในที่สุด,adv,ที่สุด,,,,,,,,,,,,,
,324,အဏ္ဍဇ,ʔɒn-ɗaˀ-cɛ̀ˀ ,ออน-ดะ-เจี่ยะ ,,,n,สัตว์ที่เกิดจากไข่,,,,,,,,,,,,,,,,,
,325,အတ်,ʔɒt ,ออด ,,,adj,แปด,,,,,,,,,,,,,,,,,
,326,အတ္ထဘဴ,ʔɒt-tʰaˀ-pʰɛ̀a ,ออด-ทะ-เพีย ,,,n,อัตภาพ,,,,,,,,,,,,,,,,,
,327,အတ္ထ,ʔɒt-tʰaˀ ,ออด-ทะ ,,,adj,แปด,n,เนื้อหา,,,,,,,,,,,,,,,
,328,အတ္ထမ,ʔɒt-tʰaˀ-mɛ̀ˀ ,ออด-ทะ-เมี่ยะ ,,,adj,ที่แปด,,,,,,,,,,,,,,,,,
,329,အတ်သတဵု,ʔɒt-saˀ-tɒw ,ออด-ซะ-ตอฺว ,,,n,ม้าอัศดร,,,,,,,,,,,,,,,,,
,330,အဒ္ညာ,ʔaˀ-tɛ̤ˀɲɛ̀a ,อะ-เตี่ยะเญีย ,,,n,ความรู้,n,ความเข้าใจ,,,,,,,,,,,,,,,
,331,အဒ္ဓာန်,ʔɒt-tʰa̤n ,ออด-ท่าน ,,,adv,กาลนาน,adv,กาลยาวไกล,adv,เนิ่นนาน,,,,,,,,,,,,,
,332,အန္တရဘတ်,ʔɒn-taˀ-rɛ̀ˀ-pʰòt ,ออน-ตะ-เรี่ยะ-พ่ด ,,,adj,ระหว่างเวลาอาหาร,,,,,,,,,,,,,,,,,
,333,အန္တရာဲ,ʔɒn-taˀ-ra̤i ,ออน-ตะ-ร่าย ,,,n,อันตราย,adj,อันตราย,,,,,,,,,,,,,,,
,334,အန္ဓ,ʔɒn-tʰɛ̀ˀ ,ออน-เที่ยะ ,,,adj,มืด,adj,เขลา,adj,โง่,,,,,,,,,,,,,
,335,အပ်,ʔɒp ,ออบ,,,adj,เหมาะ,adj,สม,adj,พอดี,v,มอบ,,,,,,,,,,,
,336,အပ်ကဵု,ʔɒp-kɒw ,ออบ-กอฺว ,,,adj,เหมาะกับ,adj,สมกับ,adj,พอดีกับ,v,มอบให้,,,,,,,,,,,
,337,အပ်ဒပ်,ʔɒp-tòp ,ออบ-ต่บ ,,,adj,เหมาะสม,adj,เข้ากันได้,adj,พอดีกัน,,,,,,,,,,,,,
Y,338,အပ္ပမေယျ,ʔɒp-paˀ-mɛ̀a-jɛ̀ˀ ,ออบ-ปะ-เมี่ย-เยี่ยะ ,,,adj,ไม่มีที่เปรียบ,adj,ประเมิณไม่ได้,,,,,,,,,,,,,,,
,339,အပ်ပြာပ်,ʔɒp-prap ,ออบ-ปราบ ,,,adj,เหมาะ,adj,พอสม,adj,พอดีกัน,adj,เข้ากันได้,,,,,,,,,,,
,340,အဗျာကြိုတ်,ʔaˀ-pjɛ̀a-krɒt ,อะ-เปยีย-กรอฺด ,,,adj,อัพยากฤต,adj,ชี้แจงไม่ได้,adj,ที่สุด,,,,,,,,,,,,,
Y,341,အမ္မရိုတ်,ʔɒm-mɛ̀ˀ-rɤˀt ,ออม-เมี่ยะ-เริ่ด ,,,adj,อมฤต,,,,,,,,,,,,,,,,,
,342,အမြိုတ်,ʔaˀ-mɛ̤ˀrɤˀt ,อะ-เมียะเริ่ด ,,,adj,อมฤต,adj,อมตะ,,,,,,,,,,,,,,,
,343,အမြောဲ,ʔaˀ-mɛ̤ˀròa ,อะ-เมียะรั่ว ,,,n,กลิ่น,n,รสชาติ,,,,,,,,,,,,,,,
,344,အမြံက်,ʔaˀ-mɛ̤ˀrɒˀk ,อะ-เมียะร่อก ,,,n,จุดด่างดำ,n,ดอกดวง,,,,,,,,,,,,,,,
,345,အမၠော်,ʔaˀ-mɛ̤ˀlòk ,อะ-เมียะโล่ก ,,,n,ปืนใหญ่,,,,,,,,,,,,,,,,,
,346,အသ္မာပိုတ်,ʔaˀ-saˀma-pɒt ,อะ-ซะมา-ปอฺด ,,,n,อาศรม,,,,,,,,,,,,,,,,,
,347,အာ,ʔa ,อา,,,v,ไป,,,,,,,,,,,,,,,,,
,348,အာကာရ,ʔa-ka-rɛ̀ˀ ,อา-กา-เรี่ยะ ,,,n,อาการ,n,ท่าที,,,,,,,,,,,,,,,
,349,အာဃာတ,ʔa-kʰɛ̀a-taˀ ,อา-เคีย-ตะ ,,,n,ความอาฆาต,n,ความริษยา,,,,,,,,,,,,,,,
,350,အာဇနိယ,ʔa-cɛ̀ˀ-nìˀ-jɛ̀ˀ ,อา-เจี่ยะ-นิ่-เยี่ยะ ,,,n,ผู้เก่งกล้า,n,วีรบุรุษ,,,,,,,,,,,,,,,
,351,အာဇနဲ,ʔa-cɛ̀ˀ-nòa ,อา-เจี่ยะ-นั่ว ,,,n,ผู้เก่งกล้า,n,วีรบุรุษ,,,,,,,,,,,,,,,
,352,အာတ်,ʔat ,อาด ,,,v,ขอ,,,,,,,,,,,,,,,,,
,353,အာနာ,ʔa-nɛ̀a ,อา-เนีย ,,,n,คำสั่ง,n,คำบัญชา,,,,,,,,,,,,,,,
,354,အာပတ်,ʔa-pɒt ,อา-ปอด ,,,n,อาบัติ,,,,,,,,,,,,,,,,,
Y,355,အာမ္မဝှ်,ʔam-mɛ̀ˀ-wòh ,อาม-เมี่ยะ-โว่ฮ ,,,n,วันอามวสี,n,วันพระแรม 14 หรือ 15 ค่ำ,,,,,,,,,,,,,,,
,356,အာဲ,ʔai ,อาย ,,,n,มรดก,,,,,,,,,,,,,,,,,
,357,အာဲကၟာဲ,ʔai-kaˀmai ,อาย-กะมาย ,,,n,มรดก,,,,,,,,,,,,,,,,,
,358,အရှာံ,ʔaˀ-hram ,อะ-ฮราม ,,,n,บริเวณ,n,เขต,,,,,,,,,,,,,,,
,359,အာရီု,ʔa-rɤˀm ,อา-เริ่ม ,,,n,อารมณ์,n,ความรู้สึก,,,,,,,,,,,,,,,
,360,အာလီဂ,ʔa-lìˀm-kɛ̀ˀ ,อา-ลิ่ม-เกี่ยะ ,,,n,ชื่อกลองมอญชนิดหนึ่ง,,,,,,,,,,,,,,,,,
,361,အာဝဇ္ဇန်,ʔa-wòc-còn ,อา-ว่จ-จ่น ,,,n,ความคิดคำนึง,n,ความรึพึง,,,,,,,,,,,,,,,
,362,အာသန,ʔa-saˀ-nɛ̀ˀ ,อา-ซะ-เนี่ยะ ,,,n,ที่นั่ง,n,อาสนะ,,,,,,,,,,,,,,,
,363,အာသဘ,ʔa-saˀ-pʰɛ̀ˀ ,อา-ซะ-เพี่ยะ ,,,adj,องอาจ,adj,เก่งกาจ,,,,,,,,,,,,,,,
,364,အိက်,ʔɤk ,เอิก ,,,n,ขี้,n,อุจจาระ,,,,,,,,,,,,,,,
,365,အိက်ဂၟိဟ်,ʔɤk-kɛ̤ˀmìˀh ,เอิก-เกี่ยะมิ่ฮ ,,,n,ขี้ไคล,,,,,,,,,,,,,,,,,
,366,အိက်ၚာ်,ʔɤk-ŋa̤k ,เอิก-ง่าก ,,,n,ตะไคร่น้ำ,,,,,,,,,,,,,,,,,
,367,အိက်ထောံ,ʔɤk-tʰom ,เอิก-โทม ,,,v,ถ่ายอุจจาระ,v,ขี้,,,,,,,,,,,,,,,
,368,အိက်ပသဲ,ʔɤk-paˀ-soa ,เอิก-ปะ-ซัว ,,,n,ขี้เหล็ก,,,,,,,,,,,,,,,,,
,369,အိက်ရုယ်,ʔɤk-rùiˀ ,เอิก-รุ่ย ,,,n,ขี้แมลงวัน,,,,,,,,,,,,,,,,,
,370,အိက်ရုဲ,ʔɤk-rùiˀ ,เอิก-รุ่ย ,,,n,ขี้แมลงวัน,,,,,,,,,,,,,,,,,
,371,အိက်သၞိင်,ʔɤk-saˀnɤŋ ,เอิก-ซะเนิง ,,,n,ขี้สนิม,,,,,,,,,,,,,,,,,
,372,အိက်သြန်,ʔɤk-saˀrɒn ,เอิก-ซะรอน ,,,n,ดอกเบี้ย,,,,,,,,,,,,,,,,,
,373,အိက်ကြုတ်,ʔɤk-krùˀt ,เอิก-กรุด ,,,n,ขี้ครั่ง,,,,,,,,,,,,,,,,,
,374,အိက်က္ၜံင်,ʔɤk-kaˀɓɒŋ ,เอิก-กะบอง ,,,n,ขี้ได้,,,,,,,,,,,,,,,,,
,375,အိစ္ဆာ,ʔɔeˀc-cʰa ,อิจ-ชา ,,,n,อิจฉา,n,ริษยา,,,,,,,,,,,,,,,
,376,အိန်,ʔɔeˀn ,อิน ,,,n,พระอินทร์,,,,,,,,,,,,,,,,,
,377,အိန်ခေင်,ʔɔeˀn-kʰɒŋ ,อิน-คอฺง ,,,n,เกียรติยศ,n,เกียรติศักดิ์,n,ศักดิ์ศรี,,,,,,,,,,,,,
,378,အိန်ဂၠဴ,ʔɔeˀn-klɛ̀a ,อิน-เกลีย ,,,adj,สะดวกสบาย,adv,สุขสบาย,adv,เป็นสุข,,,,,,,,,,,,,
,379,အိန္တနဳလာ,ʔɔeˀn-taˀ-nì-lɛ̀a ,อิน-ตะ-นี่-เลีย ,,,n,นิลสีคราม,,,,,,,,,,,,,,,,,
,380,အိန္တက္ခဳ,ʔɔeˀn-taˀk-kʰaɪ ,อิน-ตัก-คอย ,,,n,เสาหลักเมือง,,,,,,,,,,,,,,,,,
,381,အိန်ထံင်,ʔɔeˀn-tʰɒŋ ,อิน-ทอง ,,,n,อินทอง,,,,,,,,,,,,,,,,,
,382,အိန္နစက်,ʔɔeˀn-nɛ̀ˀ-caˀk ,อิน-เนี่ยะ-จัก ,,,n,แกนกลาง,n,จุดศูนย์กลาง,,,,,,,,,,,,,,,
,383,အိန်နသဳ,ʔɔeˀn-nɛ̀ˀ-saɪ ,อิน-เนี่ยะ-ซอย ,,,n,ดินประสิว,,,,,,,,,,,,,,,,,
,384,အိန်ရှဳ,ʔɔeˀn-hraɪ ,อิน-ฮรอย ,,,n,กิริยามารยาท,n,สมบัติผู้ดี,n,การวางตัว,,,,,,,,,,,,,
,385,အိနြဳယပိုတ်,ʔɔɪ-nɛ̤ˀrì-jɛ̀ˀ-pɒt ,ออฺย-เนียะรี่-เยี่ยะ-ปอฺด ,,,n,อิริยาบถ,,,,,,,,,,,,,,,,,
,386,အိန်သဂီု,ʔɔeˀn-saˀ-kɤˀm ,อิน-ซะ-เกิ่ม ,,,adj,น่ารัก,adj,มีเสน่ห์,adj,อ่อนโยน,adv,น่าคบ,,,,,,,,,,,
,387,အိန်သွဵု,ʔɔeˀn-saˀwɒw ,อิน-ซะวอฺว ,,,n,ผู้เป็นใหญ่,n,ผู้มีอำนาจ,,,,,,,,,,,,,,,
,388,အိသ္သရ,ʔɔeˀs-saˀ-rɛ̀ˀ ,อิซ-ซะ-เรี่ยะ ,,,n,ผู้เป็นใหญ่,n,ความอิสระ,adj,อิสระ,,,,,,,,,,,,,
,389,အိသ္သာ,ʔɔeˀs-sa ,อิซ-ซา ,,,v,อิจฉา,v,ริษยา,,,,,,,,,,,,,,,
,390,အိဟ်အး,ʔɔeˀh-ʔah ,อิฮ-อะฮ ,,,interj,คำบอกอาการ,interj,เสียงแสดงอาการอ้ำอึ้งไม่แน่ใจ,,,,,,,,,,,,,,,
,391,အဳဇၞော်,ʔaɪ-cɛ̤ˀnòk ,ออย-เจียะโน่ก ,,,n,ยาย,n,ย่า,,,,,,,,,,,,,,,
,392,အု,ʔaò ,เอ่า ,,,adj,อบอ้าว,adj,ระอุ,,,,,,,,,,,,,,,
,393,အုဇြုင်,ʔaò-crɤˀŋ ,เอ่า-เจริ่ง ,,,adj,อบอ้าว,adj,ระอุ,,,,,,,,,,,,,,,
,394,အုဏ္ဏလုမ်,ʔùˀn-naˀ-lùˀm ,อุน-นะ-ลุ่ม ,,,n,อุณาโลม,,,,,,,,,,,,,,,,,
,395,အုတ်,ʔùˀt ,อุด ,,,n,อูฐ,adj,บูด,,,,,,,,,,,,,,,
,396,အုန်,ʔùˀn ,อุน ,,,n,อ้น,,,,,,,,,,,,,,,,,
,397,အုပ်,ʔùˀp ,อุบ ,,,v,อบ,n,เล่ม,v,ดูแล,v,ครอบครอง,,,,,,,,,,,
,398,အုပါဲ,ʔaò-pai ,เอ่า-ปาย ,,,n,อุบาย,,,,,,,,,,,,,,,,,
,399,အုမ်,ʔùˀm ,อุม ,,,n,คุ้ม,n,กลุ่มครัวเรือน,n,หมู่,n,หย่อมหมู่บ้าน,,,,,,,,,,,
,400,အုဲဗဂုဲ,ʔui-pɛ̀ˀ-kùi ,อุย-เปี่ยะ-กุ่ย ,,,v,เก็บรักษาไว้,v,เก็บอนุรักษ์,,,,,,,,,,,,,,,
,401,အုသဳ,ʔaò-saɪ ,เอ่า-ซอย ,,,n,เนระพูสี,n,แฝกหอม,,,,,,,,,,,,,,,
,402,အူမတ်,ʔao-mòt ,อาว-ม่ด ,,,adj,บ้า,,,,,,,,,,,,,,,,,
,403,အေင်,ʔɒŋ ,ออฺง ,,,v,อด,v,ชวด,v,พลาด,,,,,,,,,,,အေင်စန,v,อดอาหาร
,404,အေင်,ʔɒŋ ,ออฺง ,,,adj,เหม็น,adj,ฉุน,,,,,,,,,,,,,,,
,405,အေင်ဒုင်,ʔɒŋ-tɤˀŋ ,ออฺง-เติ่ง ,,,adj,อดทน,adv,อดทน,,,,,,,,,,,,,,,
,406,အေင်သ္ၚောမ်,ʔɒŋ-saˀŋom ,ออฺง-ซะโงม ,,,v,เพียรพยายาม,v,อดทน,,,,,,,,,,,,,,,
,407,အေင်သတေဟ်,ʔɒŋ-saˀ-teh ,ออฺง-ซะ-เตฮ ,,,adj,สันโดษ,adv,พอใจในสิ่งที่ตนมี,,,,,,,,,,,,,,,
,408,အေင်အောတ်,ʔɒŋ-ʔot ,ออฺง-โอด ,,,v,อดอยาก,,,,,,,,,,,,,,,,,
,409,အေန်,ʔen ,เอน ,,,v,ทำท่า,v,ตั้งท่า,v,จดจ้อง,,,,,,,,,,,,,
,410,အေန်ကဆေအ်,ʔen-kaˀ-cʰeˀ ,เอน-กะ-เช่ะ ,,,v,เดินลากเส้น,v,ขยับเท้า (ใช้ในการรำ),,,,,,,,,,,,,,,
,411,အေန်ခၠ,ʔen-kʰlaˀ ,เอน-คละ ,,,v,ตั้งท่า,v,จดจ้อง,v,ป้อ,,,,,,,,,,,,,
,412,အေန်ဂွာံ,ʔen-kwèm ,เอน-เกว่ม ,,,v,จดจ้อง,v,ตั้งท่า,v,ป้อ,,,,,,,,,,,,,
,413,အေန်ဇြင်,ʔen-crɛˀŋ ,เอน-แจร่ง ,,,v,ตั้งท่ารำดาบ,v,ตั้งดาบ,,,,,,,,,,,,,,,
,414,အေန်ဇါ,ʔen-cɛ̀a ,เอน-เจีย ,,,v,ท้าทาย,,,,,,,,,,,,,,,,,
,415,အေန်ဒွန်,ʔen-tɛ̤ˀwòn ,เอน-เตี่ยะว่น ,,,v,ตั้งท่าป้องกัน,v,เตรียมพร้อมในการต่อสู้,,,,,,,,,,,,,,,
,416,အေဲ,ʔea ,เอีย ,,,adj,เหี่ยว,,,,,,,,,,,,,,,,,
,417,အဲ,ʔoa ,อัว ,,,pron,ฉัน,pron,ผม,pron,กู,pron,ข้า,,,,,,,,,,,
,418,အဲဍိက်,ʔoa-ɗɤk ,อัว-เดิก ,,,pron,ข้าพเจ้า,pron,ดิฉัน,pron,กระผม,,,,,,,,,,,,,
,419,အဲပရဲ,ʔoa-paˀ-ròa ,อัว-ปะ-รั่ว ,,,v,เคารพ,v,นับถือ,,,,,,,,,,,,,,,
,420,အောန်,ʔon ,โอน ,,,adj,น้อย,adv,น้อย,,,,,,,,,,,,,,,
,421,အောန်သတိုတ်,ʔon-saˀ-tɒt ,โอน-ซะ-ตอฺด ,,,adj,น้อยที่สุด,adj,เล็กน้อย,,,,,,,,,,,,,,,
,422,အောပ်,ʔop ,โอบ ,,,v,แอบ,v,ซ่อนตัว,,,,,,,,,,,,,,,
,423,အောပ်ဗ္ဒ,ʔop-pɛ̀ˀ-tɛ̀ˀ ,โอบ-เปี่ยะ-เตี่ยะ ,,,v,แอบซ่อน,v,กำบัง,,,,,,,,,,,,,,,
,424,အောပ်ဗ္ဒန်,ʔop-pɛ̀ˀ-tòn ,โอบ-เปี่ยะ-ต่น ,,,v,แอบซ่อน,v,กำบัง,,,,,,,,,,,,,,,
,425,အောပ်မာ,ʔop-mɛ̀a ,โอบ-เมีย ,,,v,หมอบ,adj,อ่อนน้อม,adj,ถ่อมตัว,,,,,,,,,,,,,
,426,အောဝ်,ʔow ,โอ ,,,n,เหยือกน้ำ,,,,,,,,,,,,,,,,,
,427,အောဟ်,ʔoh ,โอฮ ,,,n,ฟืน,,,,,,,,,,,,,,,,,
,428,အဴ,ʔao ,อาว ,,,interj,"คำขานรับและสิ้นสุดประโยค เช่น ขอรับ, ครับ, ค่ะ",,,,,,,,,,,,,,,,,
,429,အံက်,ʔɒk ,ออก ,,,pron,"คำยกย่องแสดงความเคารพ เช่น พ่อ, คุณพ่อ",v,เกี่ยง,,,,,,,,,,,,,အံက်ရာဟူလှ,pron,พ่อราหุล
,430,အံင်,ʔɒŋ ,ออง ,,,v,กลั้น,v,ประสบชัยชนะ,v,มีชัย,,,,,,,,,,,,,
,431,အံင်ရှေင်,ʔɒŋ-hrɒŋ ,ออง-ฮรอฺง ,,,n,ไม่สาละ,,,,,,,,,,,,,,,,,
,432,အံင်သေဝ်,ʔɒŋ-sew ,ออง-เซว ,,,n,แม่สื่อแม่ชัก,,,,,,,,,,,,,,,,,
,433,အံင်မှုဲ,ʔɒŋ-hmui ,ออง-ฮมุย ,,,n,พัดจามร,,,,,,,,,,,,,,,,,
,434,အိုက်,ʔɒk ,อาฺก ,,,n,อกสัตว์,v,แอ่น (อก),,,,,,,,,,,,,,,
,435,အိုက်အာဲ,ʔɒk-ʔai ,อาฺก-อาย ,,,adj,ดีใจจนลืมตัว,adj,เริงร่า,adj,ตื่นเต้น,,,,,,,,,,,,,
,436,အိုက်အိုက်,ʔɒk-ʔɒk ,อาฺก-อาฺก ,,,adj,ดีใจจนลืมตัว,adj,เริงร่า,adj,ตื่นเต้น,,,,,,,,,,,,,
,437,အိုင်ဒိုင်,ʔɒŋ-tə̤ŋ ,อาฺง-ต่าฺง ,,,n,ต้นไม้ชนิดหนึ่ง,,,,,,,,,,,,,,,,,
,438,အိုတ်,ʔɒt ,ออฺด ,,,adj,หมด,adj,สิ้น,,,,,,,,,,,,,,,
,439,အိုတ်ကၠေံ,ʔɒt-klem ,ออฺด-เกลม ,,,adj,หมดทุกอย่าง,adj,ทั้งสิ้น,adj,ทุกสิ่ง,,,,,,,,,,,,,
,440,အိုတ်ဂန္ဓ,ʔɒt-kòn-tʰɛ̀ˀ ,ออฺด-ก่น-เที่ยะ ,,,v,ตาย,v,สิ้นขันธ์,,,,,,,,,,,,,,,
,441,အိုတ်ဒဲ,ʔɒt-tòa ,ออฺด-ตั่ว ,,,v,ตาย,v,ถึงแก่กรรม,,,,,,,,,,,,,,,
,442,အိုတ်သ္ကန်,ʔɒt-saˀ-kɒn ,ออฺด-ซะ-กอน ,,,v,ตาย,v,สิ้นลมปราณ,,,,,,,,,,,,,,,
,443,အိုတ်သီု,ʔɒt-sɒm ,ออฺด-ซอฺม ,,,adj,ทั้งหมด,adj,ทั้งสิ้น,,,,,,,,,,,,,,,
,444,အိုတ်အး,ʔɒt-ʔah ,ออฺด-อะฮ ,,,adj,หมดเกลี้ยง,adj,หมดสิ้น,,,,,,,,,,,,,,,
,445,အဵု,ʔɒw ,ออฺว ,,,interj,"คำขานรับแสดงการรับรู้ เช่น เออ,เอ้อ",,,,,,,,,,,,,,,,,
,446,အဵုဇိုတ်,ʔɒw-cɤˀt ,ออฺว-เจิ่ด ,,,adj,จองหอง,adj,ยโส,,,,,,,,,,,,,,,
,447,အဵုယာဲ,ʔɒw-ja̤i ,ออฺว-ย่าย ,,,interj,โอแม่,interj,แม่เอ๋ย,,,,,,,,,,,,,,,
Y,448,အိုဿီု,ʔɒs-sɒm ,ออฺซ-ซอฺม ,,,adj,ทั้งหมด,adj,ทั้งสิ้น,,,,,,,,,,,,,,,
,449,အိုသ္သီု,ʔɒs-sɒm ,ออฺซ-ซอฺม ,,,adj,ทั้งหมด,adj,ทั้งสิ้น,,,,,,,,,,,,,,,
,450,အိုဟ်,ʔɒh ,ออฺฮ ,,,adj,ผุ,,,,,,,,,,,,,,,,,
,451,အိုဟ်တမိုဟ်,ʔɒh-taˀ-mɤˀh ,ออฺฮ-ตะ-เม่อฮ ,,,adj,เหลือเฟือ,adj,เบิกบาน,adj,ปลาบปลื้ม,adj,ชื่นชม,,,,,,,,,,,
,452,အ္ဍဲ,ʔaˀ-ɗoa ,อะ-ดัว ,,,n,ที่ข้างใน,adj,ข้างใน,adj,ภายใน,,,,,,,,,,,,,
,453,အိၚုဟ်,ʔɔɪ-ŋùˀh ,ออฺย-งุ่ฮ ,,,adv,เช่นนี้,adv,อย่างนี้,adj,ดังนี้,,,,,,,,,,,,,
